user_id,registration_time,device_id,email,platform,country
y6m5uu4kn197cvxe,2024-01-11 22:22:59,20240111_eukwjvn2k6,xwest@example.net,iOS,US
uxikrgbyr3p827fv,2024-03-13 04:51:48,20240313_acpc7t3wvq,wendymcdaniel@example.net,Android,US
5rniheantivl3smf,2024-04-25 19:07:21,20240425_mhqge9a9ch,cmendoza@example.org,Android,Netherlands
i7o9pnwr6vuk6vk9,2024-03-07 14:16:00,20240307_h3nkqx6ptl,zsmith@example.org,iOS,Canada
fkp7v8nmrgx1prq1,2024-04-11 03:10:19,20240411_oozb45e1z0,gjimenez@example.org,iOS,Netherlands
aibka8c08s90ofuc,2024-01-14 04:40:05,20240114_4yh0ib1k1q,markjames@example.com,Android,Australia
kbpvp2dkwquls6ph,2024-02-09 06:34:51,20240209_zq70hg9nuu,natalieyoder@example.org,Android,Canada
l5t64xmxaq1lzmk6,2024-03-27 22:17:55,20240327_sha44yryrg,ynorman@example.com,iOS,US
0ef56lb0d3vhik2h,2024-02-03 07:42:23,20240203_2drvv3olix,charlesmacdonald@example.com,Android,US
xprw6fj5j16xqghr,2024-04-20 23:31:37,20240420_4qwwwdz0vz,blankenshipthomas@example.com,Android,US
0uzyt4hgkgp9xy1x,2024-01-03 01:41:28,20240103_2pu7u9wvjd,jennifer96@example.net,Android,US
vnmncufk8ep10i4k,2024-03-22 03:26:03,20240322_2f21eiws5o,jonesshane@example.org,iOS,US
ox52qufwg4m0d1da,2024-03-26 07:54:55,20240326_76v7kc03oa,boydmichelle@example.com,iOS,US
yqc0ewfqp51p76va,2024-01-01 14:00:22,20240101_0kod09x7l6,bruce25@example.com,iOS,US
ti9z7mj0nsnzmo30,2024-04-15 21:43:26,20240415_zln0bmlevl,mdavis@example.org,Android,US
ck05bhx3ipgfg3w8,2024-04-15 21:26:52,20240415_w5fbwn56ob,hannahmunoz@example.net,iOS,US
v328z9vzkfrs3yyz,2024-04-15 10:53:47,20240415_v9k18pilyf,michaelhart@example.org,iOS,US
bzru51l5qlnh1h6i,2024-03-18 10:03:43,20240318_mkti8wh8n2,david78@example.org,Android,France
kplfb9zla1iuvuvs,2024-02-09 00:16:49,20240209_mthzxtugvm,tharris@example.net,iOS,Italy
cx6fa5u1caclo8py,2024-02-01 15:34:25,20240201_qkdawsy2is,zfreeman@example.org,iOS,Spain
